case_id,risk_type,pair_id,condition,split,expected_rollback,semantic_risk,generated_rollback,target_present,logit_lens_score,dense_jlens_score,jvp_lens_score,linear_probe_score,generated_validator_decision,generated_validator_hits
early_spoiler_000_concept_target_present,early_spoiler,early_spoiler_000,concept_target_present,train,1,1,1,1,-5.236441962829949,-2.8903717578961645,-6.336825731146441,66.8254165649414,rollback,forged the map
early_spoiler_000_concept_present_target_absent,early_spoiler,early_spoiler_000,concept_present_target_absent,train,1,1,1,0,-5.4116460518550396,-4.382026634673881,-7.614312146452,18.50356674194336,rollback,forged the map
early_spoiler_000_target_present_concept_absent,early_spoiler,early_spoiler_000,target_present_concept_absent,train,0,0,0,1,-2.0794415416798357,-0.0,-6.769641976852503,-83.72978210449219,commit,
early_spoiler_000_concept_absent_target_absent,early_spoiler,early_spoiler_000,concept_absent_target_absent,train,0,0,0,0,-5.720311776607412,-2.9444389791664403,-6.943122422819428,-103.41495513916016,commit,
early_spoiler_001_concept_target_present,early_spoiler,early_spoiler_001,concept_target_present,train,1,1,0,1,-5.272999558563747,-3.1780538303479458,-5.521460917862246,51.18693161010742,commit,
early_spoiler_001_concept_present_target_absent,early_spoiler,early_spoiler_001,concept_present_target_absent,train,1,1,1,0,-5.4680601411351315,-3.044522437723423,-7.392031567514591,8.27548885345459,rollback,staged the fire
early_spoiler_001_target_present_concept_absent,early_spoiler,early_spoiler_001,target_present_concept_absent,train,0,0,0,1,-2.0794415416798357,-0.0,-7.072421900537371,-67.30748748779297,commit,
early_spoiler_001_concept_absent_target_absent,early_spoiler,early_spoiler_001,concept_absent_target_absent,train,0,0,0,0,-5.7430031878094825,-2.995732273553991,-7.123672785204607,-94.3070068359375,commit,
early_spoiler_002_concept_target_present,early_spoiler,early_spoiler_002,concept_target_present,train,1,1,1,1,-5.262690188904886,-3.5263605246161616,-6.16541785423142,69.23436737060547,rollback,moved the compass
early_spoiler_002_concept_present_target_absent,early_spoiler,early_spoiler_002,concept_present_target_absent,train,1,1,1,0,-5.429345628954441,-4.663439094112067,-8.204124932574041,20.010730743408203,rollback,moved the compass
